Hours,Sleep,Attendance,Marks
1,5,55,20
1,6,60,24
1,7,65,28
2,5,60,30
2,6,68,34
2,7,72,38
3,5,65,36
3,6,70,40
3,7,75,45
3,8,80,49
4,5,68,42
4,6,74,47
4,7,80,53
4,8,85,58
5,5,70,48
5,6,76,54
5,7,82,60
5,8,88,66
6,5,72,55
6,6,78,61
6,7,84,68
6,8,90,74
7,5,74,62
7,6,80,69
7,7,86,75
7,8,92,82
8,5,76,69
8,6,82,76
8,7,88,83
8,8,94,89
9,5,78,76
9,6,84,83
9,7,90,90
9,8,96,96
10,5,80,82
10,6,86,88
10,7,92,94
2,8,85,42
3,5,90,50
4,8,60,45
5,6,95,68
6,7,70,60
7,5,96,79
8,8,75,82
9,6,65,74
10,7,85,92
4,5,95,60
6,8,60,65
8,6,98,90
